,ep_01,ep_02,ep_03,ep_04,ep_05,ep_06,ep_07,ep_08,ep_09,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,ep_17,ep_18,ep_19,ep_20,ep_21,ep_22,ep_23,ep_24,ep_25,ep_26,ep_27,ep_28,ep_29,ep_30,ep_31,ep_32,ep_33,ep_34,ep_35,ep_36,ep_37,ep_38,ep_39,ep_40,ep_41,ep_42,ep_43,ep_44,ep_45,ep_46,ep_47,ep_48,ep_49,ep_50
ep_01,0.0,17451.79560051871,17256.83267248098,17133.001220222137,17082.115656882426,17163.586523057686,17229.10581091264,7669.423302824936,8192.127990105448,8832.43952847752,9559.416540216738,19822.861837622386,20710.286268896583,22601.29628531135,24905.254503002503,28411.857342605737,31906.50504360749,42589.624587399216,60303.41297206224,109308.61075405011,109308.74354922611,4148.430849311782,4035.173264582492,3978.1340062731424,4265.094752436057,3519.724687741641,5066.602601061297,7376.374607784764,13728.124185884413,21386.0331949042,34098.14524643696,6041.198635055539,6695.4508927825345,6267.71220521074,6377.033674877208,5731.879654754014,6729.919155626937,4353.959040597703,5120.735807645164,2693.5242188548864,4799.862929107488,17081.819628872054,17150.03978724662,9559.514252054707,24903.619181869177,31913.410452886223,107143.89793425957,4226.319513086109,21308.719050941017,6361.380873655868
ep_02,3033724.5154759623,0.0,1023.5945824890488,2047.4560386601136,3070.9202940147215,4093.5362512880424,5120.205535222773,6160.655247970322,7179.431270950452,8200.548684935982,9222.750849385913,1800749.4277048747,2654159.3974435613,3573102.2233966547,4578318.459328352,5907915.676896474,7325151.363224747,11559936.101920828,16334966.939052658,29267226.593861017,29267226.594289776,2605525.5845300853,3761264.0609524096,5139135.182341559,6689969.678326367,5337439.114800979,7017707.035055081,10953099.70482119,16434488.621724347,41509399.37892381,64844634.80579018,1104898.8982322542,1105304.7556641526,1225928.96298597,1299383.1136403454,1729482.8997292577,1727692.337166266,1524091.3458560738,1259796.8716974142,2587275.6354906037,3129546.605924623,3070.9325007071407,4093.9072364690833,9222.741119421786,4578318.460531822,7325151.363069688,29115571.412444893,6702230.445006166,41326021.11449953,1299383.0989460654
ep_03,3033723.613569241,1023.5945824890488,0.0,1024.1282255376886,2047.3939791077853,3070.220314489786,4097.587915252149,5141.057042284748,6158.371218380773,7178.774943155889,8200.576348143119,1800749.8544193741,2654159.5816841177,3573102.509442096,4578318.681157363,5907915.776323661,7325151.436671199,11559936.1428822,16334967.003776502,29267226.606990665,29267226.60737003,2605525.6127606155,3761264.045451145,5139135.122173385,6689969.626477685,5337438.912885156,7017707.01530605,10953099.665745208,16434488.747065298,41509399.3463159,64844634.778075606,1104901.2136225563,1105306.537857569,1225930.9626132965,1299385.1749317588,1729484.2050829874,1727693.6458367025,1524091.379243461,1259797.9787739986,2587275.1897310656,3129545.8836959656,2047.4122880833663,3070.714932993671,8200.565405369874,4578318.682360834,7325151.436516141,29115571.436086733,6702230.383363286,41326021.09121414,1299385.160237502
ep_04,3033723.056956559,2047.2047476225844,1023.6257474222009,0.0,1023.8111182903892,2045.5642855990209,3069.1656542946753,4119.54654158431,5137.450527448692,6157.517841411404,7178.7524569427105,1800750.8628179797,2654160.160576145,3573103.0882996935,4578319.131482583,5907916.048721705,7325151.651915373,11559936.273440704,16334967.13234927,29267226.65589132,29267226.65622924,2605526.042965202,3761264.3084078003,5139135.265721821,6689969.731176512,5337438.907186493,7017707.144381833,10953099.722157085,16434488.936046079,41509399.338940896,64844634.766513444,1104904.4769218431,1105309.2676147996,1225933.7988987048,1299388.027406184,1729486.1159897728,1727695.5590160883,1524092.0988677775,1259799.9160515962,2587275.1487862975,3129545.496139741,1023.9336034800665,2045.5919434782008,7178.768560411653,4578319.131616229,7325151.651882165,29115571.495709866,6702230.477953178,41326021.09327021,1299388.021603136
ep_05,3033722.8457619166,3070.812191125892,2047.231830219223,1023.8082387904117,0.0,1022.1135584800942,2045.712298189772,3104.0483436605728,4118.819794584293,5137.321406814518,6157.510447089637,1800752.4532302518,2654161.134343644,3573103.9608297963,4578319.811098436,5907916.50270644,7325152.011298979,11559936.495682491,16334967.325357387,29267226.740615014,29267226.74088891,2605526.8754375684,3761264.850025923,5139135.613300908,6689969.99255485,5337439.097874435,7017707.423251925,10953099.874371126,16434489.18887616,41509399.356813066,64844634.77111287,1104908.6888148258,1105312.9456216805,1225937.5056351514,1299391.6994494044,1729488.6329705364,1727698.0806404105,1524093.506986862,1259802.686259058,2587275.512915224,3129545.4434769005,5.231360610428455,1022.2172841446628,6157.516348674813,4578319.811198179,7325152.011281799,29115571.59130263,6702230.728967114,41326021.120687306,1299391.6954173592
ep_06,196528.94359962328,667.6013861968202,500.7447437023033,334.06306229537125,167.84610482181577,0.0,167.48867863221253,354.06942270418944,513.2003709738925,677.0468968452494,842.4864053794286,118421.94523019463,174719.20572860507,235164.18093080184,301206.63053971145,388914.52501603484,481807.88772143825,760659.1779328161,1075107.1515813854,1927305.6276277264,1927305.648990796,168715.8872578948,243552.26430883954,332772.47866287996,433192.69570317614,345752.7892344418,454595.83391426527,709486.7571086546,1064658.9662884946,2687835.8637351547,4198849.529046027,71784.44120474605,71807.8389965748,79408.04560718627,84163.27061537681,112137.0008156147,112020.84326156047,98728.74680637194,81632.86943567071,167667.41557852263,202785.78364726328,168.3690499935633,7.041230365273311,842.6310893019578,301206.6311408835,481807.88743765245,1916396.996700176,433986.60555356246,2675961.566888292,84163.22384554992
ep_07,196528.96789786377,835.2937077989867,668.6199567349079,502.4036252860416,336.90195079730614,169.55612528725598,0.0,231.40544145804526,361.66308848122793,518.3482903040294,682.14902237406,118423.04788566467,174719.87283975547,235164.67893708762,301206.9909681458,388914.75740103866,481808.0544555845,760659.2744700232,1075107.2213584767,1927305.6571783368,1927305.6743655426,168716.63171211653,243552.73335201477,332772.78152809513,433192.9059854023,345752.99012536963,454596.0061580115,709486.8461862442,1064659.0592871187,2687835.8741602977,4198849.531674047,71786.814196932,71809.9384619793,79410.31404546197,84165.35009623873,112138.15583630868,112021.9279936084,98729.47428452801,81633.9355727987,167667.60429220274,202785.79686908913,337.89170838846485,167.79673674766968,682.9143970170484,301206.99256099993,481808.05411859805,1916397.0265456906,433986.8127279055,2675961.5800141245,84165.20816893857
ep_08,979285.0707997781,4988.919887897869,4263.416980625738,3593.3547370217443,2864.2486552815017,2348.5426377591484,1915.4964466888805,0.0,853.0139767438703,1702.0348661144303,2344.443656086761,556242.8022714157,817318.8546949204,1100963.1524065125,1412336.0555873406,1819143.57416275,2261260.3149721557,3564098.377068657,5032820.455139678,9002335.354467573,9002335.346597737,841079.2069894228,1214149.4810716792,1658926.125069449,2159536.94159795,1722043.0734402833,2263443.2321809437,3532729.2858427605,5298772.303907461,13399305.330663048,20931959.516647726,356653.9414095566,356778.0373335915,395501.7919938305,419226.0013849154,557706.0256667061,557129.5724780657,491511.8048768012,406050.45568855084,834868.9198247329,1009729.335138632,2859.9703082873625,2349.7680699476814,2347.442282379512,1412336.143157356,2261260.3313628477,8968852.913369315,2163494.603565529,13340111.156645345,419224.0273011727
ep_09,979295.6006765143,8338.551717867591,7848.450732122568,7412.952710790448,7042.697270430055,6832.191812832836,6034.718544386511,1239.4563306127434,0.0,884.4930408998954,1614.2213906541301,556286.5306377868,817348.4144232243,1100985.4895314814,1412353.3252666828,1819155.1147293262,2261268.758732836,3564099.4475340014,5032821.289342029,9002336.095994828,9002336.102072932,841090.6551179682,1214157.346714913,1658931.7588019348,2159541.275501726,1722048.3849911515,2263447.653088858,3532731.7779382053,5298774.237501906,13399305.987488551,20931959.925325133,356684.98131992226,356808.1030969439,395536.53825443966,419259.2152233793,557725.8969891757,557150.0327011157,491530.28190916963,406074.73662798177,834879.5698259509,1009737.513028746,7058.146643867472,6591.414770981508,1633.2484228939861,1412353.0092400312,2261269.07625768,8968854.033888604,2163498.922855932,13340111.835359668,419254.79064156546
ep_10,979290.22280204,6626.828074165842,5895.838863786305,5177.231434583877,4491.051084778366,3823.4449024093924,3098.869695482339,1719.0817771614618,820.1031545368194,0.0,875.3687818660555,556260.5801896126,817330.5516705536,1100972.3439738294,1412343.0162069544,1819148.6674367066,2261264.2583548683,3564100.711707769,5032822.25631874,9002336.28634382,9002336.297766177,841088.9280764511,1214156.0854709623,1658930.7581685623,2159540.4919684413,1722047.065521622,2263446.7835558327,3532731.457321385,5298774.2958406275,13399305.818474917,20931959.804257914,356684.95200193074,356807.11043485877,395533.2798783295,419256.4410732455,557725.293880266,557148.9999059169,491528.54304147564,406074.54707282607,834877.0216733642,1009734.7353681279,4494.9812589949315,3779.034864629417,913.1959803630923,1412343.0076583228,2261264.324992017,8968853.925912952,2163498.1036451813,13340111.683346268,419254.05207557173
