fold,cls,tt,clst,cand,no_ctrd,sigma,weight,beta_a ,beta_b,beta_a_bias,beta_b_bias,beta_a_var,beta_b_var,p_val_tr,y_min,y_max
0,1,0,4,1,5,0.139294,2593.157794,1.096604,0.932939,0.004081,0.001974,0.009957,0.004612,0.004819,0.000000,3248.797347
0,1,0,4,2,5,0.278588,5.064761,2.071162,0.974862,0.019696,0.006258,0.057199,0.007683,0.000009,0.043524,14.562898
0,1,0,4,3,5,0.557176,0.009892,2.342084,0.535607,0.053777,0.008271,0.151840,0.004275,0.000000,0.008277,0.038061
0,1,0,4,4,5,1.114352,0.000019,2.793526,0.411576,0.107574,0.010966,0.338264,0.003831,0.000000,0.000051,0.000088
1,0,0,0,0,1,0.095263,396169.689565,0.009684,14.431876,0.008862,14.100228,0.000080,202.724971,0.000000,0.000000,67.686906
1,0,0,0,1,1,0.190526,773.768925,0.044581,2.951180,0.010302,0.896016,0.000394,2.698480,0.000000,0.000000,88.464115
1,0,0,0,2,1,0.381051,1.511267,0.650095,3.335361,0.012999,0.090787,0.008276,0.327174,0.000000,0.002241,0.878780
1,0,0,0,3,1,0.762102,0.002952,2.207425,2.626937,0.017747,0.021020,0.056809,0.077727,0.508766,0.000579,0.002578
1,0,0,0,4,1,1.524205,0.000006,2.767263,2.104359,0.031172,0.019680,0.120370,0.054113,0.291862,0.000004,0.000006
1,0,0,1,0,2,0.092343,262136.699347,0.002513,0.208213,0.000133,0.058237,0.000002,0.019395,0.000000,0.000000,269.766148
1,0,0,1,1,2,0.184686,511.985741,0.043022,1.079451,0.002747,0.127299,0.000135,0.157652,0.000000,0.000000,91.713354
1,0,0,1,2,2,0.369372,0.999972,0.708394,2.327299,0.009474,0.045439,0.007870,0.132907,0.000069,0.003200,0.721000
1,0,0,1,3,2,0.738744,0.001953,2.403098,2.650095,0.019800,0.021441,0.067737,0.078921,0.833858,0.000670,0.002938
1,0,0,1,4,2,1.477487,0.000004,2.893059,2.146586,0.034975,0.021411,0.138839,0.058514,0.264669,0.000005,0.000007
1,0,0,2,0,3,0.088171,264944.534155,0.024501,4.784757,0.014547,3.350117,0.000304,16.170369,0.000000,0.000000,78.193636
1,0,0,2,1,3,0.176341,517.469793,0.124086,2.189019,0.005164,0.142086,0.000604,0.307471,0.000000,0.000000,67.972079
1,0,0,2,2,3,0.352682,1.010683,0.889511,2.345040,0.008875,0.031857,0.010751,0.100861,0.943696,0.004846,0.805411
1,0,0,2,3,3,0.705365,0.001974,2.346131,2.553860,0.018641,0.020826,0.062332,0.075492,0.944188,0.000985,0.004018
1,0,0,2,4,3,1.410730,0.000004,2.695062,2.099682,0.027946,0.018443,0.106450,0.051984,0.717077,0.000007,0.000010
1,0,0,3,0,4,0.087595,210774.400096,0.002481,0.171513,-0.000009,0.021842,0.000001,0.006253,0.000000,0.000000,194.491186
1,0,0,3,1,4,0.175190,411.668750,0.101857,1.666584,0.007248,0.186029,0.000673,0.339544,0.000000,0.000000,71.749742
1,0,0,3,2,4,0.350380,0.804041,0.977899,2.113180,0.008067,0.023246,0.011964,0.071803,0.960326,0.004841,0.639790
1,0,0,3,3,4,0.700760,0.001570,2.435254,2.508397,0.020534,0.021356,0.070610,0.075407,0.847856,0.000917,0.003874
1,0,0,3,4,4,1.401520,0.000003,2.962257,2.125178,0.032734,0.020151,0.132715,0.056009,0.397616,0.000007,0.000011
1,0,0,4,0,5,0.101339,45418.685376,0.001207,0.210194,0.000075,0.100655,0.000000,0.024794,0.000000,0.000000,266.173702
1,0,0,4,1,5,0.202678,88.708370,0.134745,2.790539,0.015222,0.423594,0.001795,1.233559,0.000000,0.000000,24.544198
1,0,0,4,2,5,0.405356,0.173259,1.122395,2.484309,0.010816,0.030613,0.016704,0.104098,0.555652,0.002565,0.162786
1,0,0,4,3,5,0.810711,0.000338,2.197390,2.498774,0.017120,0.020707,0.053965,0.074563,0.429782,0.000291,0.001004
1,0,0,4,4,5,1.621423,0.000001,3.058393,2.306775,0.025677,0.017778,0.108716,0.056476,0.456811,0.000002,0.000003
1,1,0,0,0,1,0.047505,207749460.635971,0.032898,0.482940,-0.000047,0.004501,0.000017,0.003203,0.000000,0.000000,18461531.933729
1,1,0,0,1,1,0.095010,405760.665305,0.198390,0.897014,0.000684,0.007643,0.000383,0.011868,0.000000,0.000000,221539.872629
