,ep_01,ep_02,ep_03,ep_04,ep_05,ep_06,ep_07,ep_08,ep_09,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,ep_17,ep_18,ep_19,ep_20,ep_21,ep_22,ep_23,ep_24,ep_25,ep_26,ep_27,ep_28,ep_29,ep_30,ep_31,ep_32,ep_33,ep_34,ep_35,ep_36,ep_37,ep_38,ep_39,ep_40,ep_41,ep_42,ep_43,ep_44,ep_45,ep_46,ep_47,ep_48,ep_49,ep_50
ep_01,0.0,17377.14868324006,17167.567752413768,17035.004470556592,16981.519757255428,17352.007704930555,17431.817007409074,7690.332774437989,8252.083588030708,8939.487530000675,9715.6135604368,19819.581135163236,20617.357176661775,22309.865315379993,24675.67282794646,28058.482141288565,31252.84348334845,41234.329306523796,57664.21654204241,105056.87332890804,105056.99161601286,4260.29096002115,4147.62560406944,4063.7424807417515,4300.683653715443,3507.9462953304587,4981.174811689929,7102.460809942956,13309.170999332091,19760.59840219274,31440.211311232393,6225.177209299144,6918.314680263522,6477.202741976912,6603.3826225446,5899.682612132325,7001.576320476591,4473.931235992197,5296.668727404091,2743.985233298756,4957.780185864132,16981.244793509766,17339.365855232332,9715.708363256605,24674.51575658822,31260.21817052698,102245.497716211,4259.443287226528,19689.042937917504,6587.03552155507
ep_02,2809153.69102111,0.0,996.442841737403,1992.9747319236985,2989.422629447035,3984.3134792857727,4986.700086097555,6002.146967831395,6993.250773105821,7986.883937422496,8981.539109928528,1653210.1902769208,2475165.353963639,3332358.223910824,4256473.182096013,5550196.910233924,6853144.673689411,10768369.926765056,15140326.336538088,27094864.232343905,27094864.232817546,2411765.350570909,3481948.069013812,4757243.608328257,6191937.424418473,4942586.701254399,6494583.69985824,10137372.368657641,15210502.938558627,38427685.317643985,60021560.95837762,1022124.5934814708,1023242.4843646088,1135313.3881743813,1202083.3284510307,1601173.4258748714,1599162.3541854753,1407794.0196172253,1164343.287731535,2394544.4349414837,2896728.5000295774,2989.4329017651817,3984.4371778563764,8981.540259809004,4256473.183097413,6853144.674147766,26867557.061471708,6203880.830701579,38246689.28690593,1202083.317153071
ep_03,2809152.7678473145,996.442841737403,0.0,996.62092670042,1993.0268370499855,2987.928894313986,3991.784845309682,5010.56803217094,5999.98195692383,6992.7637929522825,7986.906694311837,1653210.631104621,2475165.556365066,3332358.4878877285,4256473.365062811,5550197.006773546,6853144.744151244,10768369.962426525,15140326.382012764,27094864.252778437,27094864.253197446,2411765.37926684,3481948.0527719106,4757243.546570758,6191937.371001625,4942586.498989053,6494583.679055778,10137372.334700048,15210503.067913802,38427685.28415926,60021560.92987165,1022126.9674433104,1023244.3071093824,1135315.431973431,1202085.441361924,1601174.7466887266,1599163.7097536898,1407794.0403935483,1164344.4242687481,2394543.977390332,2896727.7611363824,1993.0422448878594,2988.093840651961,7986.907987390207,4256473.366064211,6853144.7446096,26867557.090374425,6203880.767443084,38246689.26280115,1202085.4300639841
ep_04,2809152.1981310453,1992.9033192901277,996.4781128998646,0.0,996.690868439712,1991.55873246204,2988.001673986288,4019.0404582992624,5007.633140599646,5999.390821332014,6992.804124279366,1653211.67245774,2475166.1598691344,3332359.0498120403,4256473.781262668,5550197.280135237,6853144.958939678,10768370.090140682,15140326.493063198,27094864.30985345,27094864.310226843,2411765.8196301977,3481948.3216707674,4757243.693503327,6191937.477928884,4942586.497612314,6494583.811026426,10137372.398667924,15210503.26253355,38427685.2765118,60021560.917907864,1022130.3127491826,1023247.1001403086,1135318.34737249,1202088.3777464146,1601176.6876138956,1599165.6857679985,1407794.7663203853,1164346.4133924553,2394543.9344826736,2896727.365003541,996.8333796047293,1991.4551072342965,6992.815846137301,4256473.781339339,6853144.959008233,26867557.156240705,6203880.8641878385,38246689.26465483,1202088.3659426086
ep_05,2809151.9818070056,2989.3586271663485,1992.930836121846,996.6656093074939,0.0,995.076551587364,1991.7583865315494,3031.9314554156176,4017.2831852391923,5007.245772148922,5999.344016700136,1653213.3143597941,2475167.164492017,3332359.9097147114,4256474.430852331,5550197.733558083,6853145.318524666,10768370.310179664,15140326.669687085,27094864.403556276,27094864.403858952,2411766.6715761432,3481948.8756517093,4757244.049066606,6191937.745164731,4942586.697097789,6494584.095978878,10137372.56049047,15210503.522370674,38427685.29469345,60021560.92247997,1022134.629189903,1023250.8632500129,1135322.1313225522,1202092.1348396474,1601179.2485666536,1599168.283073702,1407796.1968868265,1164349.254481873,2394544.3060709164,2896727.3115208866,5.309833449126658,995.170340702141,5999.350901699159,4256474.430920703,6853145.318525212,26867557.25902733,6203881.120963239,38246689.29245893,1202092.1304440927
ep_06,194139.92026376037,676.303463306261,507.29966941105306,338.4726269779391,170.15908035210836,0.0,169.63833394481605,356.2564215697338,518.4454069053879,684.7106092354163,852.4261440328078,115558.23189942454,173195.6475103561,233111.30280031302,297730.7909371093,388417.87863011414,479220.724694679,753241.6327348112,1059070.5024114114,1896424.3969342504,1896424.4200340663,166609.97769913578,240539.08314869265,328637.8721561537,427748.32061295764,341559.0525342732,448800.12054252776,700496.0807495245,1051135.8530507737,2654636.624363054,4146370.3993652314,70827.55767059451,70901.60342214188,78450.38067115322,83062.04589402302,110740.2616179546,110601.21645773247,97284.01819231462,80481.24786018797,165538.0431025749,200232.16398544118,170.6520295974739,6.841472260300905,852.5695857563793,297730.79140571394,479220.7244657118,1879625.7720990616,428573.3797877032,2642133.074484513,83062.00183969691
ep_07,194139.92812158616,846.1032413669609,677.265933964319,508.7498111819,341.0677092001832,171.46839685546036,0.0,226.1842993102205,362.89978730576297,522.5907559659961,688.888208444172,115559.38984585805,173196.33964229398,233111.8068278924,297731.14806767064,388418.11274239374,479220.89200911805,753241.7276722762,1059070.5664487802,1896424.427616119,1896424.4460336142,166610.74363970695,240539.5638634096,328638.18115937966,427748.53395599173,341559.2554864414,448800.29229519085,700496.1703714032,1051135.9457730248,2654636.6338166455,4146370.4011481097,70829.99655841233,70903.75314084387,78452.60307214138,83064.07860349688,110741.4260315084,110602.31201820853,97284.7370146817,80482.30561332182,165538.21688706096,200232.15978380648,341.8367770718411,169.8742820625284,689.4889977477312,297731.14912396105,479220.8917199068,1879625.8019054777,428573.589978593,2642133.086644552,83063.96405166075
ep_08,945522.229328914,4975.698136489542,4278.725539435285,3630.742452131948,2964.15349788981,2490.2071269043836,2106.2330706784487,0.0,815.6927459917096,1628.3257771461058,2298.1903358212326,531628.2594768474,792396.5604938754,1068038.9571428504,1364692.0629652373,1775770.6964834635,2199887.4811651725,3452106.9119678214,4853410.4611853,8664031.350813776,8664031.345503714,811787.6284846141,1171996.5515616022,1601246.0304360765,2084148.6923267723,1662706.6896932626,2184081.5149622946,3409121.395188673,5113256.524222388,12934382.58982656,20202669.887374036,344013.52739865787,344382.8410800861,381896.5599785542,404384.6346132921,538345.8571165435,537670.2325588625,473369.1469504991,391276.6994985253,805658.460572337,974499.6664548329,2961.427259023373,2491.3428479765184,2300.2861232580904,1364692.1239384771,2199887.4954211093,8608290.958573708,2088168.6092819658,12873461.722751267,404383.26167819684
ep_09,945529.5476486859,7378.4032994382405,6842.354716122297,6357.007506330121,5932.847563876001,5624.025601119954,4946.184121589959,1071.537928567215,0.0,829.9871812350789,1563.508967017367,531658.1560706988,792416.4469924561,1068053.9801814444,1364703.679573923,1775778.5335159886,2199893.1455912897,3452107.9734074376,4853411.259132779,8664031.98681874,8664031.991181081,811796.3806564983,1172002.5488981348,1601250.310188051,2084151.980126661,1662710.6490029183,2184084.8471385404,3409123.316492115,5113258.070917689,12934383.077188557,20202670.18734832,344038.2128971825,344406.53476029687,381923.24701063574,404410.2279918391,538361.4907584294,537686.2890678816,473383.44803913403,391295.942312105,805666.4058474883,974505.6071748617,5944.50378773538,5442.643845880573,1576.7808726624392,1364703.495646742,2199893.382790179,8608291.83832854,2088171.8792252,12873462.230441453,404407.1539396948
ep_10,945527.256293909,6517.582025430991,5803.698888297937,5103.219628882265,4432.952932949141,3795.6201879948935,3137.126281639708,1647.2994576493738,795.5882937157273,0.0,837.2605316854978,531645.5283518187,792407.8029043173,1068047.6771607148,1364698.6614354395,1775775.5841373166,2199891.312835326,3452109.21659532,4853412.183399959,8664032.305561839,8664032.314228011,811797.2477998525,1172003.0846278826,1601250.619557989,2084152.204804897,1662710.6410057086,2184085.012469259,3409123.557037921,5113258.497014465,12934383.070357895,20202670.17021705,344044.29196807765,344411.64199676545,381926.99546959804,404414.08521206473,538364.8712886678,537689.4815930008,473385.6447483935,391300.5412122931,805666.4508312256,974504.9904368242,4436.040589901443,3766.462639257893,866.2435080612457,1364698.6579769976,2199891.361132671,8608291.977271346,2088172.0744789217,12873462.240836088,404412.20066069625
