    NO  S V  AOA    FREQ    B  FMOP  AMP      TOA      PMOP  PW         dTOA  
    78  0 1  95.62  9937.00 2   0.0 -30.9     87323450   0   1350      1020000
    79  0 1  94.92  9944.50 2   0.0 -30.6     88313550   0   1100       990100
    80  0 1  95.27  9953.50 2   0.0 -30.6     89325550   0   1150      1012000
    81  0 1  94.22  9962.50 2   0.0 -30.6     90341750   0   1300      1016200
    82  0 1  94.22  9971.50 2   0.0 -30.3     91371900   0   1300      1030150
    83  0 1  95.62  9982.00 2   0.0 -30.3     92382300   0   1250      1010400
    84  0 1  95.27 10003.00 2   0.0 -30.3     94332100   0   1350      1949800
    85  0 1  94.92 10015.00 2   0.0 -30.0     95332500   0   1300      1000400
    86  0 1  95.27 10024.00 2   0.0 -30.0     96342400   0   1450      1009900
    87  0 1  95.62 10034.50 2   0.0 -30.0     97362850   0   1350      1020450
    88  0 1  94.57 10042.00 2   0.0 -30.0     98353100   0   1450       990250
    89  0 1  94.57 10051.00 2   0.0 -30.0     99364950   0   1350      1011850
    90  0 1  94.57 10058.50 2   0.0 -30.0    100380900   0   1300      1015950
    91  0 1  94.57 10066.00 2   0.0 -30.0    101410550   0   1350      1029650
    92  0 1  95.62 10070.50 2   0.0 -30.0    102420300   0   1150      1009750
    93  0 1  95.27 10078.00 2   0.0 -30.0    104371100   0   1100      1950800
    94  0 1  95.62 10079.50 2   0.0 -30.0    105371450   0   1300      1000350
    95  0 1  95.62 10078.00 2   0.0 -30.3    106381600   0   1200      1010150
    96  0 1  94.57 10078.00 2   0.0 -30.3    107401700   0   1350      1020100
    97  0 1  94.92 10075.00 2   0.0 -30.3    108391750   0   1500       990050
    98  0 1  95.27 10069.00 2   0.0 -30.3    109403650   0   1100      1011900
    99  0 1  95.62 10064.50 2   0.0 -30.6    110419750   0   1200      1016100
   100  0 1  95.62 10055.50 2   0.0 -30.6    111449350   0   1150      1029600
   101  0 1  95.62 10049.50 2   0.0 -30.6    112458950   0   1150      1009600
   102  0 1  94.22 10033.00 2   0.0 -30.9    114408400   0   1350      1949450
   103  0 1  94.57 10021.00 2   0.0 -31.3    115408500   0   1200      1000100
   104  0 1  94.22 10012.00 2   0.0 -31.3    116418700   0   1150      1010200
   105  0 1  94.92 10000.00 2   0.0 -31.6    117438900   0   1150      1020200
   106  0 1  94.22  9988.00 2   0.0 -31.6    118428600   0   1200       989700
   107  0 1  95.62  9979.00 2   0.0 -31.9    119440600   0   1300      1012000
   108  0 1  95.62  9967.00 2   0.0 -31.9    120456200   0   1400      1015600
   109  0 1  95.62  9958.00 2   0.0 -32.2    121486000   0   1150      1029800
   110  0 1  95.27  9949.00 2   0.0 -32.5    122495700   0   1350      1009700
   111  0 1  95.27  9935.50 2   0.0 -32.8    124444800   0   1500      1949100
   112  0 1  94.92  9928.00 2   0.0 -33.1    125444900   0   1450      1000100
   113  0 1  94.57  9925.00 2   0.0 -33.4    126454750   0   1500      1009850
   114  0 1  95.62  9920.50 2   0.0 -33.4    127474300   0   1500      1019550
   115  0 1  94.22  9919.00 2   0.0 -33.8    128464250   0   1350       989950
   116  0 1  95.62  9919.00 2   0.0 -34.1    129476450   0   1250      1012200
   117  0 1  94.57  9922.00 2   0.0 -34.4    130492750   0   1350      1016300
